,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1
2016-01-08,0.0023155283769208668,,,,0.0013524216182086712
2016-01-11,0.0026785731716443273,,,,-0.0005502682174166607
2016-01-12,0.011190781637123726,,,,0.0026910444895245633
2016-01-13,0.021110459594003178,,,,0.006921054986994329
2016-01-14,0.009541727003123085,,,,0.008738763092751317
2016-01-15,0.010149257389877542,,,,0.0035549423280566983
2016-01-19,-0.010999122234341213,,,,-0.011074243903066217
2016-01-20,-0.006087051907335106,,,,-0.0010389723911140847
2016-01-21,-0.009537739195792816,,,,-0.002558142090933302
2016-01-22,0.00852044331826643,,,,0.01443669587074764
2016-01-25,-0.0010440243045576891,,,,-0.0004023676202566384
2016-01-26,-0.0018294158924496151,,,,0.0011747695135885805
2016-01-27,-0.000750382333327887,,,,0.0012856678032538704
2016-01-28,0.003811443704108658,,,,0.0026307311840189362
2016-01-29,0.025209568021394985,,,,0.016321107157609094
2016-02-01,0.010226092797412573,,,,-0.0014931521704333872
2016-02-02,0.021763235570896766,,,,0.004199069043814174
2016-02-03,0.015154525709185657,,,,-0.0019670626025692084
2016-02-04,0.020499533055934133,,,,8.624069433496584e-05
2016-02-05,0.03159225582656214,,,,0.0053462858382127
2016-02-08,0.014790152671862428,,,,-0.009276912057245457
2016-02-09,0.01249004840517437,,,,-0.0005660958846786801
2016-02-10,0.018819536204292886,,,,0.0016229713540473756
2016-02-11,0.02545548376857029,,,,0.002068275995660729
2016-02-12,0.02304130229978041,,,,-0.0004227292400669491
2016-02-16,0.014094994317220444,,,,0.002003478105445905
2016-02-17,0.0036786804941086604,,,,-0.005249267470359309
2016-02-18,0.001663908679650078,,,,0.002988694824925059
2016-02-19,0.0018839675924317567,,,,-0.003860496271455016
2016-02-22,0.012514229798311904,,,,0.006619179083649895
2016-02-23,0.006065074305546425,,,,-0.0032589816081539102
2016-02-24,-0.0011462116854275561,,,,-0.005371637723118938
2016-02-25,0.0032752387177742703,,,,0.0017216329501649752
2016-02-26,-0.0005747046640988407,,,,-0.0018350435400760756
2016-02-29,0.007574201217849547,,,,0.00507735315864985
2016-03-01,0.009808889435236584,,,,0.0009206307033647054
2016-03-02,-0.005018118037480895,,,,0.0022487727599808383
2016-03-03,-0.012354921815904946,,,,-0.011045013754531874
2016-03-04,-0.007277290466460196,,,,0.0026494769347340796
2016-03-07,-0.0017152477304362979,,,,0.002826605883330363
2016-03-08,-0.005944702504383531,,,,-0.007607331130430606
2016-03-09,-0.015295820207310767,,,,-0.006826205239564176
2016-03-10,-0.010926907832489785,,,,0.0033257174571334758
2016-03-11,-0.0009143594779336683,,,,0.007547205507052596
2016-03-14,-0.017319990101939686,,,,-0.008618466171352895
2016-03-15,-0.020877318642929854,,,,-0.006367479085031769
2016-03-16,-0.02285597862515576,,,,-0.004087522518191361
2016-03-17,-0.026466879336280835,,,,-0.0038403717290212136
2016-03-18,-0.02561504265114825,,,,0.001218414935083706
2016-03-21,-0.02191677340383502,,,,0.002348045686297734
2016-03-22,-0.02286498873899523,,,,-0.0034914844985884375
2016-03-23,-0.025763601613690137,,,,-0.0052970174605494885
2016-03-24,-0.023188254552402157,,,,0.002904258698886844
2016-03-28,-0.023501017071055466,,,,-0.0027553293099315673
2016-03-29,-0.017874100317703964,,,,0.0033974259230617476
2016-03-30,-0.024639719755002537,,,,-0.004843034820106479
2016-03-31,-0.04661018019033587,,,,-0.023425209170518838
2016-04-01,-0.041674667208087324,,,,0.005191021799839601
2016-04-04,-0.03880452134881984,,,,0.004493075478906025
2016-04-05,-0.02695995881896769,,,,0.010397530452805212
2016-04-06,-0.0236448915026288,,,,0.0056766378314319355
2016-04-07,-0.025042074257898034,,,,0.000726632568170571
2016-04-08,-0.02996599496415732,,,,-0.0014678438418046919
2016-04-11,-0.02543948902881385,,,,0.00029476503035377744
2016-04-12,-0.03132085549387496,,,,-0.009931810269439845
2016-04-13,-0.028018354787559638,,,,0.005245362663788805
2016-04-14,-0.03049703696061798,,,,-0.0005311777738277457
2016-04-15,-0.027257520418325923,,,,-0.0009682671205582111
2016-04-18,-0.022988796147900295,,,,0.00014594841551475446
2016-04-19,-0.022484967662451796,,,,-0.0007955279718199482
2016-04-20,-0.019358346622017727,,,,-0.0005281922156423757
2016-04-21,-0.013301710389961197,,,,0.0018472204976258538
2016-04-22,-0.015387042730429387,,,,-0.004643638917477919
2016-04-25,-0.011505137682896308,,,,-0.00014759427650319623
2016-04-26,-0.008353114627791564,,,,-0.0006747355539813288
2016-04-27,-0.009363768459875993,,,,-0.0048433884546918715
2016-04-28,-0.0012500679402314419,,,,0.004924373826607917
2016-04-29,-0.0027542417276816555,,,,0.0004721517779285034
2016-05-02,-0.0007173008272997466,,,,-0.00023962667941156146
2016-05-03,0.0018732544233215909,,,,0.002766401558895362
2016-05-04,-0.004619953798851606,,,,-0.0057731640955811375
2016-05-05,-0.011158074575203195,,,,-0.00840435092050483
2016-05-06,-0.017105131011855026,,,,-0.009149187573042311
2016-05-09,-0.01533390884892466,,,,0.000483817245996665
2016-05-10,-0.003424142688000689,,,,0.009358337175937662
2016-05-11,-0.010277996336381823,,,,0.0005930198083871213
2016-05-12,-0.02026296280397394,,,,-0.008334841716003918
2016-05-13,-0.012320130591528464,,,,0.0040053906713071324
2016-05-16,-0.007708279137130916,,,,0.0057999699541533695
2016-05-17,-0.009949425875524193,,,,-0.00044099177954647073
2016-05-18,-0.013486266336379074,,,,-0.002570420077038643
2016-05-19,-0.00999751504015603,,,,-0.0013374488451270705
2016-05-20,-0.005249981293146369,,,,0.0011287300593164906
2016-05-23,-0.004780397127839564,,,,-0.001176507549775524
2016-05-24,0.00871784756195508,,,,0.009247377619753333
